,Title,Genre(s),Developer(s),Publisher(s),Stadia release date,Original release date[a],Date added to Stadia Pro[b],Date no longer claimable on Stadia Pro[c],Ref.
214,SteamWorld Dig,Action-adventure,Image & Form,Image & Form,"March 10, 2020","August 7, 2013","July 1, 2020","July 1, 2021",
215,SteamWorld Dig 2,Action-adventure,Image & Form,Image & Form,"March 1, 2020","September 21, 2017","March 1, 2020","April 1, 2021",
216,SteamWorld Heist,Turn-based strategy,Image & Form,Image & Form,"March 10, 2020","December 10, 2015","May 1, 2020","May 1, 2021",
217,SteamWorld Quest,Role-playing,Image & Form,Thunderful Publishing,"March 1, 2020","April 25, 2019","March 1, 2020","April 1, 2021",
218,Strange Brigade,Third-person shooter,Rebellion Developments,Rebellion Developments,"August 1, 2020","August 28, 2018","August 1, 2020","November 1, 2020",
219,Street Power Football,Sports,"SFL Interactive, Gamajun",Maximum Games,"May 11, 2021","August 25, 2020","July 1, 2021","January 1, 2022",[53][70]
220,Streets of Rage 4,beat 'em up game,Dotemu,Dotemu,"July 15, 2021","April 30, 2020",,,[29]
221,Submerged: Hidden Depths,Adventure,Uppercut Games,Stadia Games and Entertainment,"December 3, 2020","December 3, 2020","December 3, 2020","June 4, 2021",
222,Sundered,Metroidvania,Thunder Lotus Games,Thunder Lotus Games,"May 26, 2020","July 28, 2017","November 1, 2020","January 25, 2021",[52]
223,Super Animal Royale,Battle Royale,Pixile,Modus Games,"December 14, 2021","August 26, 2021",,,[88]
224,Super Bomberman R Online,"Battle Royale, Maze",Konami,Konami,"September 1, 2020","September 1, 2020","September 1, 2020","December 1, 2020[d]",[89]
225,Superhot,First-person shooter,Superhot Team,Superhot Team,"June 1, 2020","February 26, 2016","June 1, 2020","December 1, 2020",
226,Superhot: Mind Control Delete,First-person shooter,Superhot Team,Superhot Team,"August 18, 2020","July 16, 2020","October 1, 2020","April 1, 2021",[18]
227,Terraria,Action-adventure,Re-Logic,505 Games,"March 18, 2021","May 16, 2011","July 1, 2021",,[70]
228,The Addams Family: Mansion Mayhem,"Adventure, Platform",PHL Collective,Outright Games,"October 1, 2021","September 24, 2021",,,[16]
229,The Crew 2,Racing,Ivory Tower,Ubisoft,"March 25, 2020","June 29, 2018",,,
230,The Darkside Detective,Adventure,Spooky Doorway,Akupara Games,"April 8, 2021","July 27, 2017","July 1, 2021",,[70][90]
231,The Darkside Detective: A Fumble in the Dark,Adventure,Spooky Doorway,Akupara Games,"April 15, 2021","April 15, 2021","January 1, 2022",,[48]
232,The Elder Scrolls Online,MMORPG,ZeniMax Online Studios,Bethesda Softworks,"June 16, 2020","April 4, 2014","June 16, 2020","July 16, 2020",
233,The Falconeer,aerial combat,Tomas Sala,Wired Productions,"October 5, 2021","November 10, 2020",,,[91]
234,The Gardens Between,Puzzle game,The Voxel Agents,The Voxel Agents,"November 1, 2020","September 20, 2018","November 1, 2020","February 1, 2021",[52]
235,The Jackbox Party Pack 6,Party,Jackbox Games,Jackbox Games,"December 21, 2021","October 17, 2019",,,
236,The Jackbox Party Pack 7,Party,Jackbox Games,Jackbox Games,"December 7, 2021","October 15, 2020",,,[36]
237,The Jackbox Party Pack 8,Party,Jackbox Games,Jackbox Games,"November 16, 2021","October 14, 2021",,,
238,The Turing Test,Puzzle,Bulkhead Interactive,Bulkhead Interactive,"May 1, 2020","August 30, 2016","May 1, 2020","October 1, 2020",
239,Thumper,Rhythm,Drool,Drool,"November 19, 2019","October 10, 2016","January 1, 2020","May 1, 2020",
240,TOHU,Adventure,Fireart Games,The Irregular Corporation,"January 28, 2021","January 28, 2021",,,[48]
241,Tom Clancy's The Division 2,Third-person shooter,Massive Entertainment,Ubisoft,"March 17, 2020","March 15, 2019",,,
242,Tom Clancy's Ghost Recon Breakpoint,Tactical shooter,Ubisoft Paris,Ubisoft,"December 18, 2019","October 4, 2019",,,
243,Tom Clancy's Ghost Recon Wildlands,Tactical shooter,Ubisoft Paris,Ubisoft,"November 19, 2020","March 7, 2017",,,[9]
244,Tom Clancy's Rainbow Six Extraction,Tactical shooter,Ubisoft Montreal,Ubisoft,"January 20, 2022","January 20, 2022",,,
245,Tom Clancy's Rainbow Six Siege,Tactical shooter,Ubisoft Montreal,Ubisoft,"June 30, 2021","December 1, 2015",,,
246,Tomb Raider,Action-adventure,Crystal Dynamics,Square Enix,"November 19, 2019","March 5, 2013","December 1, 2019","January 1, 2020",
247,Transformers: Battlegrounds,Strategy,Coatsink,Outright Games,"December 1, 2021","October 23, 2020","December 1, 2021",,
248,Trials Rising,Racing,"RedLynx, Ubisoft Kyiv",Ubisoft,"November 19, 2019","February 26, 2019",,,
249,Trine 4: The Nightmare Prince,Puzzle-platform,Frozenbyte,Modus Games,"March 30, 2021","October 8, 2019","May 1, 2021","May 1, 2022",[49]
250,Trivial Pursuit Live! 2,Party,Longtail Studios,Ubisoft,"March 17, 2022","March 17, 2022",,,[92]
251,Trollhunters: Defenders of Arcadia,"Action, Platform",WayForward,Outright Games,"January 25, 2022","September 25, 2020",,,[24]
252,Uno,Card Game,Ubisoft Chengdu,Ubisoft,"September 15, 2020","August 16, 2016",,,[79]
253,Uno: 50th Anniversary,Card Game,,Ubisoft,"June 3, 2021","June 3, 2021",,,
254,Unto the End,Platform,2 Ton Studios,Big Sugar,"December 9, 2020","December 9, 2020","December 10, 2021",,[48][31][93]
255,Valkyria Chronicles 4,Tactical role-playing game,Sega,Sega,"December 8, 2020","March 21, 2018","August 1, 2021","November 1, 2021",[31][42][94]
256,Watch Dogs,Action-adventure,Ubisoft Montreal,Ubisoft,"December 9, 2020","May 27, 2014",,,[9][31]
257,Watch Dogs 2,Action-adventure,Ubisoft Montreal,Ubisoft,"December 9, 2020","November 15, 2016",,,[9][31]
258,Watch Dogs: Legion,Action-adventure,Ubisoft Toronto,Ubisoft,"October 29, 2020","October 29, 2020",,,[95]
259,Wave Break,Sports simulation,Funktronic Labs,Funktronic Labs,"June 23, 2020","June 23, 2020","September 1, 2021",,[28][38][96]
260,Wavetale,"Adventure, Platform",Thunderful Publishing,Thunderful Publishing,"November 10, 2021","November 10, 2021","November 10, 2021",,[97]
261,Welcome to Elk,Adventure,Triple Topping,Triple Topping,"February 23, 2021","September 17, 2020",,,[1]
262,West of Loathing,"Adventure, Role-playing",Asymmetric Productions,Asymmetric Productions,"July 1, 2020","August 10, 2017","July 1, 2020","November 1, 2020",
263,Windbound,Survival,5 Lives Studios,Koch Media,"August 28, 2020","August 28, 2020",,,
264,Windjammers 2,Sports,Dotemu,Dotemu,"January 20, 2022","January 20, 2022",,,
265,Wolfenstein: Youngblood,First-person shooter,"MachineGames, Arkane Studios",Bethesda Softworks,"November 19, 2019","July 26, 2019",,,[98]
266,World War Z: Aftermath,"Third-person shooter, Action-adventure",Saber Interactive Inc,Saber Interactive Inc,"April 5, 2022","September 21, 2021","April 5, 2022",,[3][99]
267,Worms W.M.D,"Artillery, strategy",Team17,Team17,"July 1, 2022","August 23, 2016","July 1, 2022",,[100]
268,Wreckfest,"Vehicular combat, racing",Bugbear Entertainment,THQ Nordic,"December 1, 2021","June 14, 2018","December 1, 2021",,
269,WWE 2K Battlegrounds,Sports,Saber Interactive,2K Sports,"September 18, 2020","September 18, 2020",,,[98]
270,Young Souls,Role-playing,1P2P,The Arcade Crew,"August 17, 2021","August 17, 2021",,,
271,Ys IX: Monstrum Nox,Action role-playing,Nihon Falcom Corporation,NIS America,"July 6, 2021","September 26, 2019","April 1, 2022",,[3][65]
272,Ys VIII: Lacrimosa of Dana,Action role-playing,Nihon Falcom Corporation,NIS America,"April 1, 2021","July 21, 2016","April 1, 2021","April 1, 2022",[23][65]
273,Zombie Army 4: Dead War,"Tactical shooter, Survival horror",Rebellion Developments,Rebellion Developments,"May 1, 2020","February 4, 2020","May 1, 2020","August 1, 2020",
274,Zorro: The Chronicles,Action-adventure,Bkom Studios,BTC Studios,"June 16, 2022","June 16, 2022",,,[101]
